TIME	R1:1	R2:1	R3:1	Prev:1	R1:2	R2:2	R3:2	Prev:2	R1:3	R2:3	R3:3	Prev:3	
6500.0000001	0.01169771	0	0	0.27678479	0	0.01012647	0	0.2769012	0	0	0.0122035	0.27647185	
6600.0000001	0.01176747	0	0	0.27678495	0	0.01013204	0	0.27690119	0	0	0.01229607	0.27647193	
6700.0000001	0.01183764	0	0	0.27678511	0	0.01013761	0	0.27690119	0	0	0.01238933	0.276472	
6800.0000001	0.01190823	0	0	0.27678527	0	0.01014318	0	0.27690119	0	0	0.01248328	0.27647208	
6900.0000001	0.01197924	0	0	0.27678543	0	0.01014876	0	0.27690119	0	0	0.01257794	0.27647216	
7000.00000011	0.01205066	0	0	0.2767856	0	0.01015433	0	0.27690118	0	0	0.01267331	0.27647223	
7100.00000011	0.0121225	0	0	0.27678576	0	0.01015992	0	0.27690118	0	0	0.0127694	0.27647231	
7200.00000011	0.01219477	0	0	0.27678592	0	0.0101655	0	0.27690118	0	0	0.0128662	0.27647239	
7300.00000011	0.01226746	0	0	0.27678609	0	0.01017109	0	0.27690117	0	0	0.01296372	0.27647247	
7400.00000012	0.01234058	0	0	0.27678626	0	0.01017668	0	0.27690117	0	0	0.01306198	0.27647255	
7500.00000012	0.01241413	0	0	0.27678642	0	0.01018227	0	0.27690117	0	0	0.01316097	0.27647263	
7600.00000012	0.01248811	0	0	0.27678659	0	0.01018787	0	0.27690117	0	0	0.0132607	0.27647271	
7700.00000012	0.01256253	0	0	0.27678676	0	0.01019347	0	0.27690116	0	0	0.01336117	0.27647279	
7800.00000012	0.01263738	0	0	0.27678693	0	0.01019907	0	0.27690116	0	0	0.0134624	0.27647287	
7900.00000013	0.01271268	0	0	0.2767871	0	0.01020467	0	0.27690116	0	0	0.01356438	0.27647295	
8000.00000013	0.01278841	0	0	0.27678727	0	0.01021028	0	0.27690115	0	0	0.01366713	0.27647303	
8100.00000013	0.0128646	0	0	0.27678745	0	0.01021589	0	0.27690115	0	0	0.01377064	0.27647312	
8200.00000013	0.01294123	0	0	0.27678762	0	0.01022151	0	0.27690115	0	0	0.01387492	0.2764732	
8300.00000013	0.01301831	0	0	0.2767878	0	0.01022713	0	0.27690115	0	0	0.01397999	0.27647329	
8400.00000014	0.01309585	0	0	0.27678797	0	0.01023275	0	0.27690114	0	0	0.01408583	0.27647337	
8500.00000014	0.01317384	0	0	0.27678815	0	0.01023837	0	0.27690114	0	0	0.01419247	0.27647346	
8600.00000014	0.01325229	0	0	0.27678833	0	0.010244	0	0.27690114	0	0	0.0142999	0.27647355	
8700.00000014	0.0133312	0	0	0.27678851	0	0.01024963	0	0.27690113	0	0	0.01440814	0.27647363	
8800.00000015	0.01341057	0	0	0.27678869	0	0.01025526	0	0.27690113	0	0	0.01451718	0.27647372	
8900.00000015	0.01349041	0	0	0.27678887	0	0.0102609	0	0.27690113	0	0	0.01462703	0.27647381	
9000.00000015	0.01357072	0	0	0.27678905	0	0.01026654	0	0.27690113	0	0	0.01473771	0.2764739	
9100.00000015	0.0136515	0	0	0.27678924	0	0.01027218	0	0.27690112	0	0	0.01484921	0.27647399	
9200.00000015	0.01373275	0	0	0.27678942	0	0.01027782	0	0.27690112	0	0	0.01496153	0.27647408	
9300.00000016	0.01381448	0	0	0.27678961	0	0.01028347	0	0.27690112	0	0	0.0150747	0.27647417	
