TIME	R1.NR	R2.NR	R3.NR	R1.R	R2.R	R3.R	
8500.00000014	0.0516302	0.00943953	0.38361269	0.22551649	0.07946984	0.06369467	
8600.00000014	0.05270555	0.00924092	0.39626243	0.23420901	0.08080635	0.06561013	
8700.00000014	0.05376784	0.00903986	0.40894351	0.24306503	0.08211057	0.06755012	
8800.00000015	0.05481543	0.00883674	0.42163902	0.25207709	0.08337989	0.06951341	
8900.00000015	0.05584674	0.00863193	0.43433209	0.26123711	0.08461172	0.07149872	
9000.00000015	0.05686024	0.00842582	0.44700598	0.2705364	0.08580355	0.07350475	
9100.00000015	0.05785446	0.00821878	0.45964416	0.27996564	0.08695291	0.0755302	
9200.00000015	0.05882799	0.00801118	0.47223036	0.28951492	0.08805741	0.07757378	
9300.00000016	0.0597795	0.00780338	0.4847487	0.29917379	0.08911471	0.07963423	
9400.00000016	0.06070774	0.00759574	0.49718372	0.30893126	0.09012259	0.08171029	
9500.00000016	0.06161153	0.0073886	0.50952045	0.31877583	0.09107889	0.08380078	
9600.00000016	0.06248979	0.00718229	0.52174451	0.32869555	0.09198154	0.08590456	
9700.00000017	0.06334153	0.00697712	0.53384211	0.33867805	0.09282858	0.08802058	
9800.00000017	0.06416586	0.00677341	0.54580016	0.34871055	0.09361814	0.09014788	
9900.00000017	0.06496199	0.00657144	0.55760629	0.35877996	0.09434846	0.09228562	
10000.00000017	0.0657292	0.00637148	0.56924886	0.36887289	0.09501786	0.09443306	
10100.00000017	0.0664669	0.0061738	0.58071705	0.3789757	0.09562478	0.09658965	
10200.00000018	0.06717459	0.00597863	0.59200085	0.38907456	0.09616774	0.09875497	
10300.00000018	0.06785187	0.0057862	0.60309106	0.39915547	0.09664537	0.10092879	
10400.00000018	0.06849842	0.00559672	0.61397935	0.40920436	0.09705638	0.10311109	
10500.00000018	0.06911403	0.00541038	0.62465823	0.41920708	0.09739956	0.10530203	
10600.00000018	0.06969858	0.00522735	0.63512105	0.42914949	0.09767379	0.10750204	
10700.00000019	0.07025203	0.00504778	0.64536203	0.43901748	0.09787803	0.10971177	
10800.00000019	0.07077444	0.00487181	0.65537619	0.44879705	0.09801128	0.11193214	
10900.00000019	0.07126592	0.00469956	0.66515936	0.45847429	0.09807264	0.11416431	
11000.00000019	0.07172669	0.00453114	0.67470819	0.46803549	0.09806123	0.11640976	
11100.0000002	0.07215702	0.00436663	0.68402006	0.47746714	0.09797623	0.11867021	
11200.0000002	0.07255725	0.00420611	0.69309311	0.48675597	0.09781688	0.12094771	
11300.0000002	0.07292778	0.00404964	0.70192617	0.49588902	0.09758246	0.12324456	
11400.0000002	0.07326908	0.00389726	0.71051874	0.50485363	0.09727227	0.12556335	
11500.0000002	0.07358165	0.00374899	0.71887096	0.5136375	0.09688567	0.12790697	
11600.00000021	0.07386604	0.00360487	0.72698355	0.52222875	0.0964221	0.13027853	
11700.00000021	0.07412286	0.00346488	0.73485779	0.53061589	0.09588102	0.13268141	
11800.00000021	0.07435274	0.00332903	0.74249547	0.53878795	0.09526198	0.13511916	
11900.00000021	0.07455634	0.0031973	0.74989887	0.54673444	0.09456465	0.13759553	
12000.00000022	0.07473435	0.00306967	0.75707068	0.55444545	0.0937888	0.14011437	
12100.00000022	0.07488748	0.00294609	0.76401401	0.56191167	0.09293435	0.14267963	
12200.00000022	0.07501647	0.00282653	0.77073231	0.56912444	0.09200144	0.14529525	
12300.00000022	0.07512206	0.00271093	0.77722935	0.57607586	0.09099041	0.1479651	
12400.00000022	0.07520501	0.00259924	0.78350918	0.58275875	0.08990189	0.15069292	
12500.00000023	0.07526607	0.0024914	0.78957612	0.58916682	0.08873684	0.15348223	
12600.00000023	0.07530603	0.00238734	0.79543467	0.59529465	0.08749658	0.15633624	
12700.00000023	0.07532563	0.00228698	0.80108954	0.6011378	0.08618286	0.15925776	
12800.00000023	0.07532565	0.00219025	0.80654557	0.60669282	0.08479787	0.16224913	
12900.00000024	0.07530685	0.00209706	0.81180775	0.61195735	0.0833443	0.16531213	
13000.00000024	0.07526997	0.00200734	0.81688113	0.61693009	0.08182535	0.16844793	
13100.00000024	0.07521577	0.001921	0.82177086	0.62161088	0.08024474	0.17165705	
13200.00000024	0.07514498	0.00183795	0.82648213	0.62600065	0.07860668	0.1749393	
13300.00000024	0.07505832	0.0017581	0.83102015	0.63010143	0.07691587	0.17829379	
13400.00000025	0.07495649	0.00168137	0.83539015	0.63391628	0.07517746	0.18171894	
13500.00000025	0.07484019	0.00160766	0.83959735	0.63744929	0.07339696	0.1852125	
13600.00000025	0.0747101	0.00153688	0.84364694	0.64070544	0.07158019	0.18877165	
13700.00000025	0.07456687	0.00146895	0.84754405	0.64369051	0.06973319	0.19239298	
13800.00000025	0.07441116	0.00140377	0.8512938	0.64641103	0.06786213	0.19607266	
13900.00000026	0.07424357	0.00134126	0.8549012	0.64887414	0.06597324	0.19980646	
14000.00000026	0.07406472	0.00128132	0.85837121	0.65108745	0.06407268	0.20358988	
14100.00000026	0.07387519	0.00122386	0.8617087	0.65305896	0.06216649	0.20741822	
14200.00000026	0.07367555	0.00116881	0.86491845	0.65479698	0.0602605	0.2112867	
14300.00000027	0.07346635	0.00111608	0.86800514	0.65630996	0.05836029	0.21519049	
14400.00000027	0.07324813	0.00106558	0.87097335	0.65760647	0.05647108	0.2191248	
14500.00000027	0.07302138	0.00101723	0.87382753	0.65869509	0.05459776	0.22308497	
14600.00000027	0.0727866	0.00097096	0.87657205	0.65958434	0.0527448	0.22706648	
