TIME	R3:1	R3:2	R3:3	R3:4	R3:5	R3:6	R3:7	R3:8	R3:9	R3:10	R3:11	R3:12	R3:13	R3:14	
5300.00000007	0.01185152	0.01089817	0.01002185	0.00891269	0.00795361	0.0070276	0.00612783	0.01074985	0.00986142	0.00904742	0.00802099	0.00713709	0.0062871	0.00546466	
5400.00000007	0.01200212	0.01098171	0.01004835	0.00887394	0.00786535	0.00689838	0.00596606	0.01081855	0.00987488	0.0090145	0.00793594	0.00701347	0.00613259	0.00528681	
5500.00000007	0.01215461	0.01106588	0.01007492	0.00883536	0.00777808	0.00677153	0.00580853	0.01088769	0.00988835	0.0089817	0.00785179	0.00689198	0.00598185	0.00511471	
5600.00000008	0.01230899	0.01115068	0.01010156	0.00879695	0.00769177	0.006647	0.00565515	0.01095726	0.00990184	0.00894901	0.00776852	0.00677257	0.0058348	0.00494819	
5700.00000008	0.01246531	0.01123613	0.01012827	0.00875871	0.00760642	0.00652476	0.0055058	0.01102727	0.00991535	0.00891644	0.00768613	0.00665523	0.00569134	0.00478707	
5800.00000008	0.01262357	0.01132221	0.01015505	0.00872064	0.00752201	0.00640475	0.00536037	0.01109773	0.00992888	0.00888399	0.00760461	0.0065399	0.00555139	0.00463116	
5900.00000008	0.0127838	0.01140894	0.01018189	0.00868273	0.00743853	0.00628694	0.00521877	0.01116863	0.00994243	0.00885166	0.00752394	0.00642656	0.00541486	0.00448031	
6000.00000008	0.01294603	0.01149632	0.01020881	0.00864499	0.00735598	0.00617128	0.0050809	0.01123998	0.00995599	0.00881944	0.00744413	0.00631517	0.00528167	0.00433436	
6100.00000009	0.01311027	0.01158435	0.0102358	0.00860741	0.00727434	0.00605774	0.00494665	0.01131178	0.00996958	0.00878734	0.00736515	0.00620569	0.00515174	0.00419314	
6200.00000009	0.01327656	0.01167305	0.01026285	0.00856999	0.0071936	0.00594629	0.00481594	0.01138403	0.00998318	0.00875535	0.00728701	0.00609811	0.005025	0.0040565	
6300.00000009	0.01344491	0.01176241	0.01028997	0.00853274	0.00711376	0.00583687	0.00468866	0.01145674	0.0099968	0.00872348	0.00720969	0.00599238	0.00490135	0.00392429	
6400.00000009	0.01361536	0.01185244	0.01031717	0.00849565	0.00703479	0.00572946	0.00456474	0.0115299	0.01001044	0.00869173	0.00713318	0.00588847	0.00478073	0.00379638	
6500.0000001	0.01378792	0.01194314	0.01034443	0.00845873	0.00695671	0.00562402	0.00444408	0.01160353	0.01002409	0.00866009	0.00705748	0.00578635	0.00466307	0.00367262	
6600.0000001	0.01396262	0.01203453	0.01037176	0.00842196	0.00687948	0.00552051	0.0043266	0.01167763	0.01003777	0.00862856	0.00698258	0.00568599	0.00454829	0.00355288	
6700.0000001	0.01413948	0.01212659	0.01039916	0.00838535	0.00680311	0.00541889	0.00421221	0.01175219	0.01005146	0.00859715	0.00690847	0.00558737	0.00443632	0.00343703	
6800.0000001	0.01431854	0.01221935	0.01042664	0.00834891	0.00672758	0.00531914	0.00410083	0.01182722	0.01006517	0.00856585	0.00683513	0.00549044	0.00432709	0.00332495	
6900.0000001	0.01449982	0.0123128	0.01045418	0.00831262	0.00665289	0.00522122	0.0039924	0.01190272	0.01007891	0.00853467	0.00676258	0.00539519	0.00422055	0.00321651	
7000.00000011	0.01468334	0.01240695	0.01048179	0.00827649	0.00657903	0.0051251	0.00388681	0.0119787	0.01009265	0.00850359	0.00669078	0.00530158	0.00411661	0.0031116	
7100.00000011	0.01486913	0.0125018	0.01050947	0.00824052	0.00650598	0.00503074	0.00378402	0.01205516	0.01010642	0.00847263	0.00661975	0.00520959	0.00401523	0.00301009	
7200.00000011	0.01505722	0.01259736	0.01053723	0.0082047	0.00643374	0.00493811	0.00368393	0.01213211	0.01012021	0.00844178	0.00654946	0.00511918	0.00391633	0.00291189	
7300.00000011	0.01524763	0.01269363	0.01056505	0.00816904	0.0063623	0.00484717	0.00358648	0.01220953	0.01013401	0.00841104	0.00647991	0.00503034	0.00381986	0.00281689	
7400.00000012	0.0154404	0.01279063	0.01059294	0.00813354	0.00629165	0.00475791	0.0034916	0.01228745	0.01014784	0.00838042	0.0064111	0.00494303	0.00372576	0.00272497	
7500.00000012	0.01563554	0.01288834	0.01062091	0.00809819	0.00622178	0.00467029	0.00339923	0.01236585	0.01016168	0.0083499	0.00634301	0.00485723	0.00363396	0.00263605	
7600.00000012	0.01583309	0.01298679	0.01064895	0.00806299	0.00615269	0.00458427	0.00330929	0.01244475	0.01017554	0.00831949	0.00627565	0.00477291	0.00354442	0.00255002	
7700.00000012	0.01603308	0.01308597	0.01067706	0.00802795	0.00608436	0.00449983	0.00322173	0.01252415	0.01018942	0.0082892	0.00620899	0.00469004	0.00345708	0.00246679	
7800.00000012	0.01623553	0.01318589	0.01070524	0.00799306	0.00601678	0.00441695	0.00313647	0.01260405	0.01020332	0.00825901	0.00614304	0.00460861	0.00337188	0.00238627	
7900.00000013	0.01644047	0.01328655	0.01073349	0.00795832	0.00594996	0.00433558	0.00305347	0.01268445	0.01021724	0.00822893	0.00607778	0.00452859	0.00328878	0.00230837	
8000.00000013	0.01664794	0.01338796	0.01076181	0.00792373	0.00588387	0.00425571	0.00297266	0.01276535	0.01023117	0.00819896	0.00601321	0.00444995	0.00320772	0.00223301	
8100.00000013	0.01685796	0.01349013	0.01079021	0.0078893	0.00581852	0.0041773	0.00289398	0.01284677	0.01024513	0.0081691	0.00594933	0.00437267	0.00312865	0.00216011	
8200.00000013	0.01707055	0.01359306	0.01081868	0.00785501	0.00575389	0.00410034	0.00281738	0.0129287	0.0102591	0.00813935	0.00588612	0.00429672	0.00305152	0.00208958	
8300.00000013	0.01728576	0.01369676	0.01084722	0.00782087	0.00568998	0.00402479	0.0027428	0.01301114	0.01027309	0.0081097	0.00582357	0.00422209	0.00297629	0.00202135	
8400.00000014	0.01750361	0.01380122	0.01087583	0.00778689	0.00562677	0.00395063	0.00267019	0.0130941	0.0102871	0.00808017	0.00576169	0.00414875	0.00290291	0.00195534	
8500.00000014	0.01772414	0.01390647	0.01090452	0.00775305	0.00556426	0.00387783	0.0025995	0.01317759	0.01030113	0.00805073	0.00570046	0.00407668	0.00283133	0.00189148	
8600.00000014	0.01794736	0.01401249	0.01093328	0.00771935	0.00550245	0.00380636	0.00253068	0.0132616	0.01031518	0.00802141	0.00563988	0.00400585	0.00276151	0.00182971	
8700.00000014	0.01817332	0.0141193	0.01096211	0.00768581	0.00544132	0.00373621	0.00246367	0.01334614	0.01032925	0.00799219	0.00557994	0.00393626	0.00269341	0.00176995	
8800.00000015	0.01840205	0.01422691	0.01099102	0.00765241	0.00538087	0.00366736	0.00239844	0.01343121	0.01034334	0.00796307	0.00552063	0.00386786	0.00262698	0.00171214	
8900.00000015	0.01863357	0.01433532	0.01102	0.00761915	0.00532108	0.00359976	0.00233493	0.01351681	0.01035745	0.00793407	0.00546195	0.00380065	0.00256219	0.00165621	
9000.00000015	0.01886792	0.01444453	0.01104905	0.00758604	0.00526196	0.00353341	0.00227309	0.01360295	0.01037157	0.00790516	0.00540389	0.0037346	0.00249899	0.0016021	
9100.00000015	0.01910514	0.01455455	0.01107818	0.00755308	0.0052035	0.00346828	0.0022129	0.01368964	0.01038571	0.00787636	0.00534644	0.0036697	0.00243735	0.00154977	
9200.00000015	0.01934525	0.01466538	0.01110738	0.00752025	0.00514568	0.00340434	0.00215429	0.01377686	0.01039988	0.00784767	0.0052896	0.00360592	0.00237722	0.00149914	
9300.00000016	0.01958828	0.01477704	0.01113666	0.00748758	0.00508851	0.00334159	0.00209723	0.01386464	0.01041406	0.00781907	0.00523336	0.00354325	0.00231858	0.00145016	
9400.00000016	0.01983428	0.01488952	0.01116601	0.00745504	0.00503196	0.00327998	0.00204169	0.01395297	0.01042826	0.00779059	0.00517772	0.00348166	0.00226137	0.00140277	
9500.00000016	0.02008328	0.01500284	0.01119543	0.00742264	0.00497605	0.00321951	0.00198761	0.01404185	0.01044248	0.0077622	0.00512266	0.00342113	0.00220558	0.00135694	
9600.00000016	0.02033531	0.015117	0.01122493	0.00739039	0.00492075	0.00316015	0.00193496	0.01413129	0.01045672	0.00773392	0.00506819	0.00336166	0.00215116	0.0013126	
9700.00000017	0.02059039	0.015232	0.0112545	0.00735828	0.00486606	0.00310188	0.0018837	0.01422129	0.01047098	0.00770574	0.00501429	0.00330322	0.00209808	0.00126971	
9800.00000017	0.02084858	0.01534785	0.01128415	0.0073263	0.00481199	0.00304469	0.0018338	0.01431186	0.01048526	0.00767766	0.00496097	0.00324578	0.0020463	0.00122821	
9900.00000017	0.02110991	0.01546456	0.01131388	0.00729447	0.00475851	0.00298855	0.00178522	0.014403	0.01049956	0.00764968	0.00490821	0.00318935	0.0019958	0.00118807	
10000.00000017	0.0213744	0.01558213	0.01134368	0.00726277	0.00470562	0.00293344	0.00173792	0.0144947	0.01051388	0.00762181	0.004856	0.00313389	0.00194655	0.00114925	
10100.00000017	0.02164209	0.01570056	0.01137355	0.00723121	0.00465332	0.00287934	0.00169188	0.01458699	0.01052821	0.00759403	0.00480435	0.0030794	0.00189851	0.00111169	
10200.00000018	0.02191303	0.01581988	0.0114035	0.00719979	0.00460161	0.00282624	0.00164705	0.01467985	0.01054257	0.00756636	0.00475325	0.00302584	0.00185165	0.00107535	
10300.00000018	0.02218725	0.01594007	0.01143353	0.00716851	0.00455046	0.00277412	0.00160341	0.01477329	0.01055694	0.00753878	0.00470269	0.00297322	0.00180594	0.0010402	
