Tf2	R2(final):2	
0	0.00983369	
0.03448276	0.00992108	
0.06896552	0.01001537	
0.10344828	0.01011741	
0.13793103	0.01022819	
0.17241379	0.01034887	
0.20689655	0.01048085	
0.24137931	0.01062576	
0.27586207	0.01078558	
0.31034483	0.01096273	
0.34482759	0.01116016	
0.37931034	0.0113815	
0.4137931	0.01163135	
0.44827586	0.01191549	
0.48275862	0.01224141	
0.51724138	0.01261889	
0.55172414	0.01306098	
0.5862069	0.01358543	
0.62068966	0.01421706	
0.65517241	0.01499144	
0.68965517	0.01596146	
0.72413793	0.01720882	
0.75862069	0.01886609	
0.79310345	0.02116174	
0.82758621	0.02452046	
0.86206897	0.02981315	
0.89655172	0.03907316	
0.93103448	0.05794526	
0.96551724	0.10574912	
1	0.25209037	
