TIME	R1.NR	R2.NR	R3.NR	R1.R	R2.R	R3.R	
6800.0000001	0.01110236	0.00971795	0.01458173	0.017435	0.01539474	0.00690303	
6900.0000001	0.01117393	0.00973591	0.01476808	0.01758999	0.01546579	0.0069484	
7000.00000011	0.01124593	0.00975387	0.01495674	0.0177462	0.01553719	0.0069941	
7100.00000011	0.01131836	0.00977183	0.01514776	0.01790363	0.01560893	0.00704011	
7200.00000011	0.01139122	0.00978979	0.01534114	0.01806231	0.01568105	0.00708643	
7300.00000011	0.01146452	0.00980775	0.01553692	0.01822226	0.01575353	0.00713305	
7400.00000012	0.01153825	0.00982571	0.01573514	0.01838348	0.0158264	0.00717996	
7500.00000012	0.01161241	0.00984366	0.01593581	0.01854599	0.01589965	0.00722717	
7600.00000012	0.01168702	0.00986162	0.01613896	0.01870981	0.01597329	0.00727467	
7700.00000012	0.01176207	0.00987956	0.01634463	0.01887494	0.01604732	0.00732247	
7800.00000012	0.01183756	0.00989751	0.01655284	0.0190414	0.01612176	0.00737056	
7900.00000013	0.0119135	0.00991545	0.01676363	0.01920919	0.01619659	0.00741895	
8000.00000013	0.01198988	0.00993339	0.01697702	0.01937832	0.01627182	0.00746763	
8100.00000013	0.01206672	0.00995132	0.01719304	0.01954881	0.01634746	0.00751661	
8200.00000013	0.012144	0.00996924	0.01741173	0.01972067	0.0164235	0.00756589	
8300.00000013	0.01222174	0.00998716	0.01763311	0.01989389	0.01649996	0.00761547	
8400.00000014	0.01229993	0.01000507	0.01785722	0.0200685	0.01657682	0.00766535	
8500.00000014	0.01237858	0.01002298	0.01808408	0.02024451	0.0166541	0.00771553	
8600.00000014	0.01245769	0.01004087	0.01831373	0.02042192	0.01673179	0.00776602	
8700.00000014	0.01253725	0.01005876	0.0185462	0.02060074	0.0168099	0.00781682	
8800.00000015	0.01261728	0.01007664	0.01878153	0.02078099	0.01688843	0.00786792	
8900.00000015	0.01269778	0.0100945	0.01901974	0.02096267	0.01696738	0.00791933	
9000.00000015	0.01277874	0.01011236	0.01926087	0.02114579	0.01704675	0.00797106	
9100.00000015	0.01286017	0.0101302	0.01950495	0.02133036	0.01712655	0.0080231	
9200.00000015	0.01294206	0.01014804	0.01975202	0.0215164	0.01720677	0.00807545	
9300.00000016	0.01302443	0.01016586	0.02000211	0.02170391	0.01728742	0.00812812	
9400.00000016	0.01310727	0.01018366	0.02025525	0.0218929	0.0173685	0.00818112	
9500.00000016	0.01319059	0.01020145	0.02051147	0.02208339	0.01745001	0.00823443	
9600.00000016	0.01327439	0.01021923	0.02077083	0.02227538	0.01753196	0.00828806	
9700.00000017	0.01335866	0.01023699	0.02103334	0.02246888	0.01761434	0.00834202	
9800.00000017	0.01344342	0.01025474	0.02129904	0.02266391	0.01769716	0.00839631	
9900.00000017	0.01352865	0.01027247	0.02156797	0.02286047	0.01778042	0.00845092	
10000.00000017	0.01361437	0.01029018	0.02184017	0.02305857	0.01786412	0.00850587	
10100.00000017	0.01370058	0.01030788	0.02211567	0.02325824	0.01794826	0.00856115	
10200.00000018	0.01378727	0.01032555	0.02239451	0.02345946	0.01803285	0.00861676	
10300.00000018	0.01387445	0.0103432	0.02267672	0.02366227	0.01811788	0.00867271	
10400.00000018	0.01396213	0.01036084	0.02296235	0.02386666	0.01820337	0.00872899	
10500.00000018	0.01405029	0.01037845	0.02325143	0.02407264	0.0182893	0.00878562	
10600.00000018	0.01413895	0.01039604	0.023544	0.02428024	0.01837569	0.00884259	
10700.00000019	0.01422811	0.01041361	0.0238401	0.02448946	0.01846253	0.0088999	
10800.00000019	0.01431776	0.01043116	0.02413977	0.0247003	0.01854983	0.00895756	
10900.00000019	0.01440792	0.01044868	0.02444304	0.02491279	0.01863758	0.00901556	
11000.00000019	0.01449857	0.01046617	0.02474996	0.02512693	0.0187258	0.00907392	
11100.0000002	0.01458973	0.01048364	0.02506056	0.02534273	0.01881448	0.00913263	
11200.0000002	0.01468139	0.01050109	0.02537489	0.0255602	0.01890362	0.00919169	
11300.0000002	0.01477355	0.0105185	0.02569299	0.02577936	0.01899323	0.00925111	
11400.0000002	0.01486623	0.01053589	0.02601489	0.02600022	0.01908331	0.00931088	
11500.0000002	0.01495941	0.01055324	0.02634064	0.02622278	0.01917385	0.00937102	
11600.00000021	0.0150531	0.01057057	0.02667028	0.02644707	0.01926487	0.00943152	
11700.00000021	0.0151473	0.01058787	0.02700386	0.02667308	0.01935637	0.00949238	
11800.00000021	0.01524202	0.01060513	0.02734141	0.02690083	0.01944833	0.0095536	
11900.00000021	0.01533725	0.01062236	0.02768297	0.02713034	0.01954078	0.0096152	
12000.00000022	0.01543299	0.01063956	0.0280286	0.02736161	0.0196337	0.00967717	
12100.00000022	0.01552926	0.01065672	0.02837833	0.02759466	0.01972711	0.00973951	
12200.00000022	0.01562604	0.01067385	0.0287322	0.02782949	0.019821	0.00980222	
12300.00000022	0.01572334	0.01069094	0.02909027	0.02806612	0.01991537	0.00986531	
12400.00000022	0.01582116	0.010708	0.02945257	0.02830457	0.02001023	0.00992878	
12500.00000023	0.01591951	0.01072501	0.02981915	0.02854483	0.02010558	0.00999263	
12600.00000023	0.01601838	0.01074199	0.03019006	0.02878693	0.02020143	0.01005686	
12700.00000023	0.01611777	0.01075892	0.03056534	0.02903088	0.02029776	0.01012148	
12800.00000023	0.01621769	0.01077582	0.03094503	0.02927668	0.02039459	0.01018648	
12900.00000024	0.01631814	0.01079267	0.03132919	0.02952436	0.02049191	0.01025188	
13000.00000024	0.01641911	0.01080948	0.03171785	0.02977391	0.02058974	0.01031766	
13100.00000024	0.01652062	0.01082624	0.03211107	0.03002536	0.02068806	0.01038384	
13200.00000024	0.01662266	0.01084296	0.03250889	0.03027872	0.02078689	0.01045042	
13300.00000024	0.01672522	0.01085963	0.03291136	0.03053399	0.02088622	0.01051739	
13400.00000025	0.01682833	0.01087625	0.03331853	0.0307912	0.02098605	0.01058477	
13500.00000025	0.01693196	0.01089283	0.03373044	0.03105034	0.0210864	0.01065254	
13600.00000025	0.01703613	0.01090936	0.03414715	0.03131145	0.02118725	0.01072073	
13700.00000025	0.01714084	0.01092583	0.0345687	0.03157452	0.02128862	0.01078932	
13800.00000025	0.01724608	0.01094226	0.03499514	0.03183957	0.0213905	0.01085831	
13900.00000026	0.01735186	0.01095863	0.03542653	0.03210661	0.0214929	0.01092772	
14000.00000026	0.01745818	0.01097494	0.0358629	0.03237566	0.02159581	0.01099755	
14100.00000026	0.01756503	0.01099121	0.03630431	0.03264672	0.02169924	0.01106779	
14200.00000026	0.01767243	0.01100741	0.03675082	0.03291981	0.0218032	0.01113845	
14300.00000027	0.01778037	0.01102356	0.03720247	0.03319495	0.02190767	0.01120953	
14400.00000027	0.01788885	0.01103965	0.03765931	0.03347214	0.02201268	0.01128103	
14500.00000027	0.01799787	0.01105568	0.03812139	0.0337514	0.02211821	0.01135296	
14600.00000027	0.01810743	0.01107165	0.03858877	0.03403274	0.02222426	0.01142532	
