TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	
0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	
200	0	0	0	0	0	0	0	0	0	
300	0	0	0	0	0	0	0	0	0	
400	0	0	0	0	0	0	0	0	0	
500	0	0	0	0	0	0	0	0	0	
600	0	0	0	0	0	0	0	0	0	
700	0	0	0	0	0	0	0	0	0	
800	0	0	0	0	0	0	0	0	0	
900	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	
1100	0	0	0	0	0	0	0	0	0	
1200	0	0	0	0	0	0	0	0	0	
1300	0	0	0	0	0	0	0	0	0	
1400	0	0	0	0	0	0	0	0	0	
1500	0	0	0	0	0	0	0	0	0	
1600	0	0	0	0	0	0	0	0	0	
1700	0	0	0	0	0	0	0	0	0	
1800	0	0	0	0	0	0	0	0	0	
1900	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	0	0	
2100	0	0	0	0	0	0	0	0	0	
2200	0	0	0	0	0	0	0	0	0	
2300	0	0	0	0	0	0	0	0	0	
2400.00000001	0	0	0	0	0	0	0	0	0	
2500.00000001	0	0	0	0	0	0	0	0	0	
2600.00000001	0	0	0	0	0	0	0	0	0	
2700.00000001	0	0	0	0	0	0	0	0	0	
2800.00000001	0	0	0	0	0	0	0	0	0	
2900.00000002	0	0	0	0	0	0	0	0	0	
3000.00000002	0	0	0	0	0	0	0	0	0	
3100.00000002	0	0	0	0	0	0	0	0	0	
3200.00000002	0	0	0	0	0	0	0	0	0	
3300.00000003	0	0	0	0	0	0	0	0	0	
3400.00000003	0	0	0	0	0	0	0	0	0	
3500.00000003	0	0	0	0	0	0	0	0	0	
3600.00000003	0	0	0	0	0	0	0	0	0	
3700.00000003	0	0	0.01096828	0	0	0.01380878	0	0	0.02019351	
3800.00000004	0	0	0.00989603	0	0	0.01079745	0	0	0.01522595	
3900.00000004	0	0	0.0099817	0	0	0.0102059	0	0	0.01270443	
4000.00000004	0	0	0.01008537	0	0	0.01006753	0	0	0.01140313	
4100.00000004	0	0	0.01020036	0	0	0.01006941	0	0	0.01073016	
4200.00000005	0	0	0.01032259	0	0	0.01011464	0	0	0.0103841	
4300.00000005	0	0	0.01044966	0	0	0.01017344	0	0	0.01020925	
4400.00000005	0	0	0.01058022	0	0	0.01023668	0	0	0.01012444	
4500.00000005	0	0	0.01071349	0	0	0.01030155	0	0	0.0100871	
4600.00000005	0	0	0.01084906	0	0	0.01036722	0	0	0.01007482	
4700.00000006	0	0	0.01098667	0	0	0.01043342	0	0	0.0100758	
4800.00000006	0	0	0.01112621	0	0	0.01050008	0	0	0.01008378	
4900.00000006	0	0	0.0112676	0	0	0.01056716	0	0	0.01009549	
5000.00000006	0	0	0.01141083	0	0	0.01063468	0	0	0.01010917	
5100.00000006	0	0	0.01155589	0	0	0.01070262	0	0	0.01012391	
5200.00000007	0	0	0.01170278	0	0	0.01077099	0	0	0.01013922	
5300.00000007	0	0	0.01185152	0	0	0.01083979	0	0	0.01015484	
5400.00000007	0	0	0.01200212	0	0	0.01090903	0	0	0.01017064	
5500.00000007	0	0	0.01215461	0	0	0.01097871	0	0	0.01018655	
5600.00000008	0	0	0.01230899	0	0	0.01104882	0	0	0.01020252	
5700.00000008	0	0	0.01246531	0	0	0.01111938	0	0	0.01021854	
5800.00000008	0	0	0.01262357	0	0	0.01119038	0	0	0.0102346	
5900.00000008	0	0	0.0127838	0	0	0.01126183	0	0	0.01025069	
6000.00000008	0	0	0.01294603	0	0	0.01133374	0	0	0.01026681	
6100.00000009	0	0	0.01311027	0	0	0.01140609	0	0	0.01028295	
6200.00000009	0	0	0.01327656	0	0	0.01147891	0	0	0.01029912	
6300.00000009	0	0	0.01344491	0	0	0.01155218	0	0	0.01031532	
6400.00000009	0	0	0.01361536	0	0	0.01162591	0	0	0.01033154	
6500.0000001	0	0	0.01378792	0	0	0.01170011	0	0	0.01034779	
6600.0000001	0	0	0.01396262	0	0	0.01177478	0	0	0.01036406	
6700.0000001	0	0	0.01413948	0	0	0.01184992	0	0	0.01038036	
6800.0000001	0	0	0.01431854	0	0	0.01192553	0	0	0.01039668	
6900.0000001	0	0	0.01449982	0	0	0.01200162	0	0	0.01041303	
7000.00000011	0	0	0.01468334	0	0	0.01207819	0	0	0.0104294	
7100.00000011	0	0	0.01486913	0	0	0.01215524	0	0	0.0104458	
7200.00000011	0	0	0.01505722	0	0	0.01223277	0	0	0.01046223	
7300.00000011	0	0	0.01524763	0	0	0.0123108	0	0	0.01047868	
