TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	
7400.00000012	0	0	0.0154404	0	0	0.01238931	0	0	0.01049515	
7500.00000012	0	0	0.01563554	0	0	0.01246832	0	0	0.01051165	
7600.00000012	0	0	0.01583309	0	0	0.01254783	0	0	0.01052818	
7700.00000012	0	0	0.01603308	0	0	0.01262784	0	0	0.01054473	
7800.00000012	0	0	0.01623553	0	0	0.01270835	0	0	0.01056131	
7900.00000013	0	0	0.01644047	0	0	0.01278937	0	0	0.01057791	
8000.00000013	0	0	0.01664794	0	0	0.0128709	0	0	0.01059454	
8100.00000013	0	0	0.01685796	0	0	0.01295294	0	0	0.0106112	
8200.00000013	0	0	0.01707055	0	0	0.0130355	0	0	0.01062788	
8300.00000013	0	0	0.01728576	0	0	0.01311857	0	0	0.01064459	
8400.00000014	0	0	0.01750361	0	0	0.01320217	0	0	0.01066132	
8500.00000014	0	0	0.01772414	0	0	0.0132863	0	0	0.01067808	
8600.00000014	0	0	0.01794736	0	0	0.01337095	0	0	0.01069487	
8700.00000014	0	0	0.01817332	0	0	0.01345614	0	0	0.01071168	
8800.00000015	0	0	0.01840205	0	0	0.01354186	0	0	0.01072851	
8900.00000015	0	0	0.01863357	0	0	0.01362812	0	0	0.01074538	
9000.00000015	0	0	0.01886792	0	0	0.01371492	0	0	0.01076227	
9100.00000015	0	0	0.01910514	0	0	0.01380226	0	0	0.01077918	
9200.00000015	0	0	0.01934525	0	0	0.01389016	0	0	0.01079613	
9300.00000016	0	0	0.01958828	0	0	0.0139786	0	0	0.01081309	
9400.00000016	0	0	0.01983428	0	0	0.0140676	0	0	0.01083009	
9500.00000016	0	0	0.02008328	0	0	0.01415716	0	0	0.01084711	
9600.00000016	0	0	0.02033531	0	0	0.01424729	0	0	0.01086416	
9700.00000017	0	0	0.02059039	0	0	0.01433797	0	0	0.01088123	
9800.00000017	0	0	0.02084858	0	0	0.01442923	0	0	0.01089833	
9900.00000017	0	0	0.02110991	0	0	0.01452106	0	0	0.01091546	
10000.00000017	0	0	0.0213744	0	0	0.01461346	0	0	0.01093262	
10100.00000017	0	0	0.02164209	0	0	0.01470645	0	0	0.0109498	
10200.00000018	0	0	0.02191303	0	0	0.01480001	0	0	0.010967	
10300.00000018	0	0	0.02218725	0	0	0.01489416	0	0	0.01098424	
10400.00000018	0	0	0.02246478	0	0	0.01498891	0	0	0.0110015	
10500.00000018	0	0	0.02274566	0	0	0.01508424	0	0	0.01101878	
10600.00000018	0	0	0.02302994	0	0	0.01518017	0	0	0.0110361	
10700.00000019	0	0	0.02331764	0	0	0.01527671	0	0	0.01105344	
10800.00000019	0	0	0.0236088	0	0	0.01537385	0	0	0.01107081	
10900.00000019	0	0	0.02390347	0	0	0.01547159	0	0	0.0110882	
11000.00000019	0	0	0.02420169	0	0	0.01556995	0	0	0.01110562	
11100.0000002	0	0	0.02450348	0	0	0.01566892	0	0	0.01112307	
11200.0000002	0	0	0.0248089	0	0	0.01576851	0	0	0.01114055	
11300.0000002	0	0	0.02511798	0	0	0.01586873	0	0	0.01115805	
11400.0000002	0	0	0.02543076	0	0	0.01596957	0	0	0.01117558	
11500.0000002	0	0	0.02574729	0	0	0.01607104	0	0	0.01119314	
11600.00000021	0	0	0.0260676	0	0	0.01617314	0	0	0.01121073	
11700.00000021	0	0	0.02639173	0	0	0.01627589	0	0	0.01122834	
11800.00000021	0	0	0.02671974	0	0	0.01637927	0	0	0.01124598	
11900.00000021	0	0	0.02705165	0	0	0.0164833	0	0	0.01126364	
12000.00000022	0	0	0.02738751	0	0	0.01658798	0	0	0.01128134	
12100.00000022	0	0	0.02772737	0	0	0.01669332	0	0	0.01129906	
12200.00000022	0	0	0.02807127	0	0	0.01679931	0	0	0.01131681	
12300.00000022	0	0	0.02841924	0	0	0.01690596	0	0	0.01133458	
12400.00000022	0	0	0.02877135	0	0	0.01701328	0	0	0.01135239	
12500.00000023	0	0	0.02912762	0	0	0.01712127	0	0	0.01137022	
12600.00000023	0	0	0.02948811	0	0	0.01722993	0	0	0.01138808	
12700.00000023	0	0	0.02985286	0	0	0.01733927	0	0	0.01140597	
12800.00000023	0	0	0.03022191	0	0	0.01744929	0	0	0.01142388	
12900.00000024	0	0	0.03059531	0	0	0.01756	0	0	0.01144182	
13000.00000024	0	0	0.03097311	0	0	0.01767139	0	0	0.01145979	
13100.00000024	0	0	0.03135535	0	0	0.01778348	0	0	0.01147779	
13200.00000024	0	0	0.03174209	0	0	0.01789627	0	0	0.01149582	
13300.00000024	0	0	0.03213336	0	0	0.01800976	0	0	0.01151387	
13400.00000025	0	0	0.03252921	0	0	0.01812395	0	0	0.01153195	
13500.00000025	0	0	0.0329297	0	0	0.01823886	0	0	0.01155006	
13600.00000025	0	0	0.03333487	0	0	0.01835448	0	0	0.0115682	
13700.00000025	0	0	0.03374477	0	0	0.01847082	0	0	0.01158637	
13800.00000025	0	0	0.03415945	0	0	0.01858789	0	0	0.01160456	
13900.00000026	0	0	0.03457896	0	0	0.01870568	0	0	0.01162279	
14000.00000026	0	0	0.03500334	0	0	0.0188242	0	0	0.01164104	
14100.00000026	0	0	0.03543266	0	0	0.01894346	0	0	0.01165932	
14200.00000026	0	0	0.03586695	0	0	0.01906346	0	0	0.01167762	
14300.00000027	0	0	0.03630627	0	0	0.01918421	0	0	0.01169596	
14400.00000027	0	0	0.03675068	0	0	0.01930571	0	0	0.01171432	
14500.00000027	0	0	0.03720021	0	0	0.01942796	0	0	0.01173272	
14600.00000027	0	0	0.03765493	0	0	0.01955097	0	0	0.01175114	
