pref_ratio	R3(final):17	R3(final):18	R3(final):19	R3(final):20	
1	0.03731489	0.01868599	0.02239064	0.01116481	
1.37931034	0.0374068	0.01887805	0.02240485	0.0112386	
1.75862069	0.03749888	0.01907024	0.02241899	0.01131253	
2.13793103	0.03759111	0.01926257	0.02243309	0.01138661	
2.51724138	0.03768351	0.01945503	0.02244713	0.01146084	
2.89655172	0.03777607	0.01964764	0.02246113	0.01153523	
3.27586207	0.03786879	0.01984038	0.02247509	0.01160976	
3.65517241	0.03796169	0.02003326	0.022489	0.01168445	
4.03448276	0.03805475	0.02022629	0.02250287	0.01175929	
4.4137931	0.03814798	0.02041947	0.0225167	0.01183428	
4.79310345	0.03824139	0.02061279	0.02253049	0.01190943	
5.17241379	0.03833497	0.02080625	0.02254425	0.01198472	
5.55172414	0.03842873	0.02099987	0.02255798	0.01206018	
5.93103448	0.03852267	0.02119364	0.02257167	0.01213578	
6.31034483	0.03861678	0.02138756	0.02258533	0.01221154	
6.68965517	0.03871108	0.02158163	0.02259896	0.01228745	
7.06896552	0.03880556	0.02177585	0.02261257	0.01236352	
7.44827586	0.03890022	0.02197023	0.02262615	0.01243975	
7.82758621	0.03899508	0.02216477	0.0226397	0.01251613	
8.20689655	0.03909012	0.02235946	0.02265323	0.01259267	
8.5862069	0.03918535	0.02255432	0.02266674	0.01266936	
8.96551724	0.03928077	0.02274933	0.02268022	0.01274622	
9.34482759	0.03937638	0.0229445	0.02269369	0.01282323	
9.72413793	0.03947219	0.02313983	0.02270713	0.01290039	
10.10344828	0.03956819	0.02333533	0.02272056	0.01297772	
10.48275862	0.0396644	0.02353098	0.02273397	0.01305521	
10.86206897	0.0397608	0.0237268	0.02274737	0.01313285	
11.24137931	0.0398574	0.02392279	0.02276074	0.01321066	
11.62068966	0.0399542	0.02411894	0.02277411	0.01328862	
12	0.04005121	0.02431526	0.02278746	0.01336675	
