TIME	R1:1	R2:1	R3:1	R1:2	R2:2	R3:2	R1:3	R2:3	R3:3	
9700.00000017	0.01467936	0	0	0.01422129	0	0	0.01009813	0	0	
9800.00000017	0.01477666	0	0	0.01431186	0	0	0.0100988	0	0	
9900.00000017	0.01487458	0	0	0.014403	0	0	0.01009948	0	0	
10000.00000017	0.01497315	0	0	0.0144947	0	0	0.01010015	0	0	
10100.00000017	0.01507236	0	0	0.01458699	0	0	0.01010082	0	0	
10200.00000018	0.01517222	0	0	0.01467985	0	0	0.01010149	0	0	
10300.00000018	0.01527273	0	0	0.01477329	0	0	0.01010216	0	0	
10400.00000018	0.01537389	0	0	0.01486732	0	0	0.01010283	0	0	
10500.00000018	0.01547571	0	0	0.01496194	0	0	0.0101035	0	0	
10600.00000018	0.0155782	0	0	0.01505715	0	0	0.01010418	0	0	
10700.00000019	0.01568136	0	0	0.01515296	0	0	0.01010485	0	0	
10800.00000019	0.01578518	0	0	0.01524937	0	0	0.01010552	0	0	
10900.00000019	0.01588969	0	0	0.01534638	0	0	0.01010619	0	0	
11000.00000019	0.01599487	0	0	0.015444	0	0	0.01010686	0	0	
11100.0000002	0.01610074	0	0	0.01554223	0	0	0.01010753	0	0	
11200.0000002	0.0162073	0	0	0.01564108	0	0	0.01010821	0	0	
11300.0000002	0.01631455	0	0	0.01574054	0	0	0.01010888	0	0	
11400.0000002	0.0164225	0	0	0.01584063	0	0	0.01010955	0	0	
11500.0000002	0.01653115	0	0	0.01594134	0	0	0.01011022	0	0	
11600.00000021	0.01664051	0	0	0.01604268	0	0	0.01011089	0	0	
11700.00000021	0.01675058	0	0	0.01614466	0	0	0.01011157	0	0	
11800.00000021	0.01686137	0	0	0.01624727	0	0	0.01011224	0	0	
11900.00000021	0.01697287	0	0	0.01635053	0	0	0.01011291	0	0	
12000.00000022	0.0170851	0	0	0.01645443	0	0	0.01011358	0	0	
12100.00000022	0.01719806	0	0	0.01655898	0	0	0.01011426	0	0	
12200.00000022	0.01731175	0	0	0.01666418	0	0	0.01011493	0	0	
12300.00000022	0.01742618	0	0	0.01677004	0	0	0.0101156	0	0	
12400.00000022	0.01754136	0	0	0.01687656	0	0	0.01011627	0	0	
12500.00000023	0.01765728	0	0	0.01698375	0	0	0.01011694	0	0	
