Tf1	R1(final):3	
0	0.00965394	
0.03448276	0.01975313	
0.06896552	0.04191197	
0.10344828	0.09110529	
0.13793103	0.19605634	
0.17241379	0.38813513	
0.20689655	0.64014131	
0.24137931	0.84447887	
0.27586207	0.9480298	
0.31034483	0.98557194	
0.34482759	0.99655738	
0.37931034	0.99929315	
0.4137931	0.99987708	
0.44827586	0.99998234	
0.48275862	0.99999797	
0.51724138	0.99999982	
0.55172414	0.99999999	
0.5862069	1	
0.62068966	1	
0.65517241	1	
0.68965517	1	
0.72413793	1	
0.75862069	1	
0.79310345	1	
0.82758621	1	
0.86206897	1	
0.89655172	1	
0.93103448	1	
0.96551724	1	
1	1	
